## Physlog file version = 2
## AMC Amsterdam (SRN = 71279), Release unify (SWID 22.22)
## Tue 03-10-2017 18:03:34
## 0 0 0 0 0 16 14 11 0 23 23 -10 11 0 11 9 8 -9 0 20 [cal=3, reqid=5]
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark mark2
-22 -18  -15 -12  1 3139  0 0 0 0000 0200
-25 -22  -17 -14  1 3225  0 0 0 0000 0200
-28 -27  -19 -17  1 3225  0 0 0 0000 0200
-31 -30  -21 -20  1 3225  0 0 0 0000 0200
-33 -33  -24 -23  1 3225  0 0 0 0000 0200
-33 -33  -26 -26  1 3225  0 0 0 0000 0200
-30 -31  -27 -28  1 3268  0 0 0 0000 0200
-28 -30  -27 -29  1 3268  0 0 0 0000 0200
-27 -27  -26 -29  1 3268  0 0 0 0000 0200
-27 -27  -26 -28  1 3268  0 0 0 0000 0200
-24 -25  -24 -27  1 3268  0 0 0 0000 0200
-22 -24  -23 -26  1 3311  0 0 0 0000 0200
-21 -24  -21 -24  1 3311  0 0 0 0000 0200
-21 -21  -19 -23  1 3311  0 0 0 0000 0200
-21 -21  -18 -21  1 3311  0 0 0 0000 0200
-21 -21  -17 -20  1 3311  0 0 0 0000 0200
-21 -19  -16 -18  1 3397  0 0 0 0000 0200
-21 -18  -15 -17  1 3397  0 0 0 0000 0200
-24 -18  -15 -16  1 3397  0 0 0 0000 0200
-21 -18  -15 -14  1 3397  0 0 0 0000 0200
-21 -18  -14 -14  1 3397  0 0 0 0000 0200
-21 -18  -14 -13  1 3440  0 0 0 0000 0200
-22 -22  -14 -13  1 3440  0 0 0 0000 0200
-24 -25  -14 -14  1 3440  0 0 0 0000 0200
-27 -30  -14 -15  1 3440  0 0 0 0000 0200
-30 -30  -15 -17  1 3440  0 0 0 0000 0200
-30 -30  -17 -19  1 3440  0 0 0 0000 0200
-28 -27  -18 -20  1 3440  0 0 0 0000 0200
-27 -25  -18 -20  1 3440  0 0 0 0000 0200
-24 -22  -18 -19  1 3440  0 0 0 0000 0200
-22 -19  -17 -18  1 3440  0 0 0 0000 0200
-21 -16  -15 -15  1 3483  0 0 0 0000 0200
-21 -15  -14 -13  1 3483  0 0 0 0000 0200
-21 -15  -13 -11  1 3483  0 0 0 0000 0200
-19 -15  -11 -9  1 3483  0 0 0 0000 0200
-21 -15  -11 -8  1 3483  0 0 0 0000 0200
-22 -15  -10 -7  1 3483  0 0 0 0000 0200
