## Physlog file version = 2
## AMC Amsterdam (SRN = 71279), Release unify (SWID 22.22)
## Tue 03-10-2017 18:03:34
## 0 0 0 0 0 16 14 11 0 23 23 -10 11 0 11 9 8 -9 0 20 [cal=3, reqid=5]
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark mark2
-6 0  -4 -2  1 -1564  0 0 0 0000 0200
-3 1  -3 -1  1 -1564  0 0 0 0000 0200
-1 1  -2 -1  1 -1472  0 0 0 0000 0200
-3 0  -1 0  1 -1472  0 0 0 0000 0200
-3 0  0 0  1 -1472  0 0 0 0000 0200
-3 0  0 0  1 -1472  0 0 0 0000 0200
-4 0  0 0  1 -1472  0 0 0 0000 0200
-6 -1  0 0  1 -1334  0 0 0 0000 0200
-9 -3  -1 0  1 -1334  0 0 0 0000 0200
-12 -6  -2 -1  1 -1334  0 0 0 0000 0200
-15 -7  -4 -2  1 -1334  0 0 0 0000 0200
-15 -9  -6 -3  1 -1334  0 0 0 0000 0200
-16 -10  -8 -5  1 -1242  0 0 0 0000 0200
-19 -13  -9 -6  1 -1242  0 0 0 0000 0200
-21 -15  -11 -8  1 -1242  0 0 0 0000 0200
-19 -15  -13 -10  1 -1242  0 0 0 0000 0200
-18 -12  -13 -11  1 -1242  0 0 0 0000 0200
-15 -12  -13 -11  1 -1196  0 0 0 0000 0200
-15 -9  -13 -11  1 -1196  0 0 0 0000 0200
-13 -9  -12 -11  1 -1196  0 0 0 0000 0200
-12 -6  -10 -10  1 -1196  0 0 0 0000 0200
-7 -1  -9 -8  1 -1196  0 0 0 0000 0200
-4 1  -6 -5  1 -1058  0 0 0 0000 0200
-1 4  -4 -3  1 -1058  0 0 0 0000 0200
0 4  -1 0  1 -1058  0 0 0 0000 0200
-1 3  0 1  1 -1058  0 0 0 0000 0200
-3 3  1 1  1 -1058  0 0 0 0000 0200
-3 3  1 2  1 -1012  0 0 0 0000 0200
-3 3  1 2  1 -1012  0 0 0 0000 0200
-3 0  1 2  1 -1012  0 0 0 0000 0200
-3 -1  1 1  1 -1012  0 0 0 0000 0200
-4 -3  1 0  1 -1012  0 0 0 0000 0200
-7 -4  1 0  1 -920  0 0 0 0000 0200
-9 -3  0 -1  1 -920  0 0 0 0000 0200
-9 -3  0 -1  1 -920  0 0 0 0000 0200
-6 -1  -1 -1  1 -920  0 0 0 0000 0200
-6 0  -1 -1  1 -920  0 0 0 0000 0200
-3 0  0 0  1 -828  0 0 0 0000 0200
-1 3  0 0  1 -828  0 0 0 0000 0200
0 4  1 0  1 -828  0 0 0 0000 0200
-1 3  1 1  1 -828  0 0 0 0000 0200
-3 3  2 1  1 -828  0 0 0 0000 0200
-3 6  2 2  1 -546  0 0 0 0000 0200
0 6  2 3  1 -546  0 0 0 0000 0200
0 6  2 3  1 -546  0 0 0 0000 0200
0 6  3 4  1 -546  0 0 0 0000 0200
3 6  4 4  1 -546  0 0 0 0000 0200
7 9  5 5  1 -409  0 0 0 0000 0200
12 13  7 6  1 -409  0 0 0 0000 0200
15 16  9 8  1 -409  0 0 0 0000 0200
18 21  12 11  1 -409  0 0 0 0000 0200
19 24  15 14  1 -409  0 0 0 0000 0200
21 25  17 17  1 -273  0 0 0 0000 0200
24 27  20 20  1 -273  0 0 0 0000 0200
24 27  22 22  1 -273  0 0 0 0000 0200
24 28  24 24  1 -273  0 0 0 0000 0200
24 30  25 25  1 -273  0 0 0 0000 0200
22 30  25 26  1 -182  0 0 0 0000 0200
21 27  25 26  1 -182  0 0 0 0000 0200
21 25  24 26  1 -182  0 0 0 0000 0200
19 22  23 25  1 -182  0 0 0 0000 0200
18 19  22 23  1 -182  0 0 0 0000 0200
15 16  21 20  1 0  0 0 0 0000 0200
12 13  19 18  1 0  0 0 0 0000 0200
9 10  17 15  1 0  0 0 0 0000 0200
6 7  14 12  1 0  0 0 0 0000 0200
3 4  11 8  1 0  0 0 0 0000 0200
0 3  8 5  1 91  0 0 0 0000 0200
0 1  6 3  1 91  0 0 0 0000 0200
0 1  3 0  1 91  0 0 0 0000 0200
4 4  2 0  1 91  0 0 0 0000 0200
10 13  3 0  1 91  0 0 0 0000 0200
18 21  5 3  1 136  0 0 0 0000 0200
22 28  8 7  1 136  0 0 0 0000 0200
27 34  12 11  1 136  0 0 0 0000 0200
31 40  16 17  1 136  0 0 0 0000 0200
36 45  21 23  1 136  0 0 0 0000 0200
36 43  25 27  1 182  0 0 0 0000 0200
31 36  27 30  1 182  0 0 0 0000 0200
25 28  28 30  1 182  0 0 0 0000 0200
19 22  26 28  1 182  0 0 0 0000 0200
16 18  24 24  1 182  0 0 0 0000 0200
12 15  20 20  1 364  0 0 0 0000 0200
9 15  16 16  1 364  0 0 0 0000 0200
10 12  13 12  1 364  0 0 0 0000 0200
12 12  11 9  1 364  0 0 0 0000 0200
10 12  9 7  1 364  0 0 0 0000 0201
9 7  7 4  1 409  0 0 0 0000 0200
6 3  6 2  1 409  0 0 0 0000 0200
1 0  4 0  1 409  0 0 0 0000 0200
-1 -4  1 -3  1 409  0 0 0 0000 0200
-4 -6  0 -6  1 409  0 0 0 0000 0200
-6 -6  -3 -8  1 455  0 0 0 0000 0200
-4 -6  -5 -10  1 455  0 0 0 0000 0200
-3 -3  -6 -11  1 455  0 0 0 0000 0200
0 -1  -6 -11  1 455  0 0 0 0000 0200
1 4  -5 -10  1 455  0 0 0 0000 0200
4 7  -4 -8  1 500  0 0 0 0000 0200
9 12  -2 -5  1 500  0 0 0 0000 0200
9 12  0 -2  1 500  0 0 0 0000 0200
6 9  0 0  1 500  0 0 0 0000 0200
3 6  0 0  1 500  0 0 0 0000 0200
0 1  0 0  1 546  0 0 0 0000 0200
-3 -1  -1 -1  1 546  0 0 0 0000 0200
-6 0  -3 -3  1 546  0 0 0 0000 0200
-3 0  -4 -4  1 546  0 0 0 0000 0200
-3 0  -5 -5  1 546  0 0 0 0000 0200
-3 0  -5 -5  1 591  0 0 0 0000 0200
-6 -3  -6 -6  1 591  0 0 0 0000 0200
-7 -4  -7 -7  1 591  0 0 0 0000 0200
-9 -6  -8 -8  1 591  0 0 0 0000 0200
-6 -6  -8 -9  1 591  0 0 0 0000 0200
-4 -6  -8 -10  1 637  0 0 0 0000 0200
-3 -6  -8 -10  1 637  0 0 0 0000 0200
-3 -3  -7 -10  1 637  0 0 0 0000 0200
-3 -3  -7 -10  1 637  0 0 0 0000 0200
-3 -4  -6 -10  1 637  0 0 0 0000 0200
-4 -6  -6 -10  1 728  0 0 0 0000 0200
-6 -7  -6 -10  1 728  0 0 0 0000 0200
-7 -9  -6 -11  1 728  0 0 0 0000 0200
-9 -9  -7 -11  1 728  0 0 0 0000 0200
-12 -10  -8 -12  1 728  0 0 0 0000 0200
-9 -9  -9 -13  1 773  0 0 0 0000 0200
-7 -9  -9 -13  1 773  0 0 0 0000 0200
-4 -4  -9 -12  1 773  0 0 0 0000 0200
0 -1  -7 -11  1 773  0 0 0 0000 0200
3 3  -5 -9  1 773  0 0 0 0000 0200
6 3  -3 -7  1 819  0 0 0 0000 0200
6 3  0 -5  1 819  0 0 0 0000 0200
3 3  0 -3  1 819  0 0 0 0000 0200
3 1  1 -2  1 819  0 0 0 0000 0200
1 0  1 -2  1 819  0 0 0 0000 0200
0 -1  0 -2  1 910  0 0 0 0000 0200
-4 -3  0 -3  1 910  0 0 0 0000 0200
-7 -6  -1 -4  1 910  0 0 0 0000 0200
-9 -9  -3 -5  1 910  0 0 0 0000 0200
-10 -12  -5 -7  1 910  0 0 0 0000 0200
-12 -12  -7 -9  1 1092  0 0 0 0000 0200
-12 -12  -8 -11  1 1092  0 0 0 0000 0200
-12 -12  -10 -12  1 1092  0 0 0 0000 0200
-9 -12  -10 -13  1 1092  0 0 0 0000 0200
-7 -9  -10 -13  1 1092  0 0 0 0000 0200
-6 -10  -9 -13  1 1183  0 0 0 0000 0200
-6 -12  -8 -13  1 1183  0 0 0 0000 0200
-9 -13  -8 -13  1 1183  0 0 0 0000 0200
-10 -15  -8 -13  1 1183  0 0 0 0000 0200
-13 -15  -8 -14  1 1183  0 0 0 0000 0200
-13 -13  -9 -14  1 1228  0 0 0 0000 0200
-12 -12  -10 -14  1 1228  0 0 0 0000 0200
-12 -10  -10 -13  1 1228  0 0 0 0000 0200
-9 -9  -10 -12  1 1228  0 0 0 0000 0200
-7 -6  -10 -11  1 1228  0 0 0 0000 0200
-4 -6  -9 -10  1 1274  0 0 0 0000 0200
-3 -3  -7 -8  1 1274  0 0 0 0000 0200
0 -1  -5 -6  1 1274  0 0 0 0000 0200
3 0  -3 -4  1 1274  0 0 0 0000 0200
3 0  -1 -3  1 1274  0 0 0 0000 0200
1 -1  0 -2  1 1410  0 0 0 0000 0200
-1 -3  0 -1  1 1410  0 0 0 0000 0200
-6 -7  0 -2  1 1410  0 0 0 0000 0200
-10 -10  -2 -3  1 1410  0 0 0 0000 0200
-13 -13  -4 -5  1 1410  0 0 0 0000 0200
-15 -15  -6 -7  1 1456  0 0 0 0000 0200
-15 -15  -8 -9  1 1456  0 0 0 0000 0200
-18 -18  -10 -11  1 1456  0 0 0 0000 0200
-18 -16  -12 -13  1 1456  0 0 0 0000 0200
-18 -15  -13 -14  1 1456  0 0 0 0000 0200
-18 -15  -14 -14  1 1547  0 0 0 0000 0200
-18 -18  -15 -14  1 1547  0 0 0 0000 0200
-19 -15  -15 -14  1 1547  0 0 0 0000 0200
-21 -15  -15 -14  1 1547  0 0 0 0000 0200
-21 -15  -16 -14  1 1547  0 0 0 0000 0200
-19 -15  -16 -13  1 1547  0 0 0 0000 0200
-18 -15  -16 -13  1 1547  0 0 0 0000 0200
-15 -13  -15 -13  1 1547  0 0 0 0000 0200
-13 -12  -14 -12  1 1547  0 0 0 0000 0200
-12 -12  -13 -11  1 1547  0 0 0 0000 0200
-9 -10  -11 -10  1 1547  0 0 0 0000 0200
-9 -9  -9 -9  1 1547  0 0 0 0000 0200
-12 -6  -8 -8  1 1547  0 0 0 0000 0200
-12 -6  -7 -6  1 1547  0 0 0 0000 0200
-9 -6  -7 -5  1 1547  0 0 0 0000 0200
-9 -6  -6 -4  1 1592  0 0 0 0000 0200
-6 -4  -5 -3  1 1592  0 0 0 0000 0200
-6 -3  -3 -2  1 1592  0 0 0 0000 0200
-3 -3  -2 -1  1 1592  0 0 0 0000 0200
-1 -1  0 0  1 1592  0 0 0 0000 0200
0 0  0 0  1 1683  0 0 0 0000 0200
-3 0  1 0  1 1683  0 0 0 0000 0200
-3 0  1 1  1 1683  0 0 0 0000 0200
0 1  2 1  1 1683  0 0 0 0000 0200
4 6  3 3  1 1683  0 0 0 0000 0200
7 9  4 4  1 1774  0 0 0 0000 0200
6 6  6 6  1 1774  0 0 0 0000 0200
4 4  7 7  1 1774  0 0 0 0000 0200
1 0  7 6  1 1774  0 0 0 0000 0200
3 1  7 6  1 1774  0 0 0 0000 0200
6 4  7 5  1 1911  0 0 0 0000 0200
9 7  8 6  1 1911  0 0 0 0000 0200
12 10  9 7  1 1911  0 0 0 0000 0200
9 9  10 7  1 1911  0 0 0 0000 0200
6 6  10 8  1 1911  0 0 0 0000 0200
3 3  10 8  1 1911  0 0 0 0000 0200
3 0  9 7  1 1911  0 0 0 0000 0200
0 0  8 5  1 1911  0 0 0 0000 0200
0 0  6 4  1 1911  0 0 0 0000 0200
0 -1  5 3  1 1911  0 0 0 0000 0200
-3 -3  4 2  1 2002  0 0 0 0000 0200
-1 -1  2 1  1 2002  0 0 0 0000 0200
1 1  2 1  1 2002  0 0 0 0000 0200
4 4  2 1  1 2002  0 0 0 0000 0200
6 6  3 2  1 2002  0 0 0 0000 0200
3 4  4 3  1 2093  0 0 0 0000 0200
-1 0  3 3  1 2093  0 0 0 0000 0200
-4 -4  2 2  1 2093  0 0 0 0000 0200
-7 -7  1 0  1 2093  0 0 0 0000 0200
-12 -12  0 -1  1 2093  0 0 0 0000 0200
-15 -15  -3 -4  1 2138  0 0 0 0000 0200
-18 -18  -6 -6  1 2138  0 0 0 0000 0200
-18 -18  -8 -9  1 2138  0 0 0 0000 0200
-19 -18  -10 -11  1 2138  0 0 0 0000 0200
-21 -18  -12 -13  1 2138  0 0 0 0000 0200
-21 -18  -14 -14  1 2184  0 0 0 0000 0200
-21 -21  -15 -15  1 2184  0 0 0 0000 0200
-21 -22  -15 -16  1 2184  0 0 0 0000 0200
-22 -24  -16 -17  1 2184  0 0 0 0000 0200
-24 -24  -17 -18  1 2184  0 0 0 0000 0200
-21 -24  -17 -18  1 2320  0 0 0 0000 0200
-21 -24  -17 -19  1 2320  0 0 0 0000 0200
-21 -22  -17 -19  1 2320  0 0 0 0000 0200
-18 -21  -16 -19  1 2320  0 0 0 0000 0200
-18 -21  -15 -18  1 2320  0 0 0 0000 0200
-16 -18  -14 -17  1 2502  0 0 0 0000 0200
-15 -18  -13 -16  1 2502  0 0 0 0000 0200
-16 -18  -12 -14  1 2502  0 0 0 0000 0200
-18 -21  -11 -14  1 2502  0 0 0 0000 0200
-19 -21  -11 -14  1 2502  0 0 0 0000 0200
-18 -19  -11 -14  1 2593  0 0 0 0000 0200
-15 -16  -10 -13  1 2593  0 0 0 0000 0200
-15 -15  -10 -12  1 2593  0 0 0 0000 0200
-15 -18  -9 -11  1 2593  0 0 0 0000 0200
-16 -19  -9 -11  1 2593  0 0 0 0000 0200
-19 -24  -9 -12  1 2639  0 0 0 0000 0200
-22 -27  -9 -13  1 2639  0 0 0 0000 0200
-25 -30  -11 -15  1 2639  0 0 0 0000 0200
-27 -28  -12 -16  1 2639  0 0 0 0000 0200
-24 -27  -14 -18  1 2639  0 0 0 0000 0200
-22 -27  -14 -18  1 2730  0 0 0 0000 0200
-21 -24  -14 -18  1 2730  0 0 0 0000 0200
-18 -21  -13 -17  1 2730  0 0 0 0000 0200
-16 -16  -12 -15  1 2730  0 0 0 0000 0200
-13 -15  -10 -12  1 2730  0 0 0 0000 0200
-10 -13  -8 -10  1 2866  0 0 0 0000 0200
-9 -12  -6 -8  1 2866  0 0 0 0000 0200
-6 -9  -3 -5  1 2866  0 0 0 0000 0200
-4 -7  -1 -3  1 2866  0 0 0 0000 0200
-1 -3  1 0  1 2866  0 0 0 0000 0200
1 0  3 1  1 2821  0 0 0 0000 0200
4 1  5 4  1 2821  0 0 0 0000 0200
6 0  7 5  1 2821  0 0 0 0000 0200
3 -1  9 7  1 2821  0 0 0 0000 0200
4 0  10 7  1 2821  0 0 0 0000 0200
6 0  11 8  1 2730  0 0 0 0000 0200
3 -1  12 8  1 2730  0 0 0 0000 0200
-1 -4  11 7  1 2730  0 0 0 0000 0200
-4 -10  10 6  1 2730  0 0 0 0000 0200
-10 -16  7 3  1 2730  0 0 0 0000 0200
-12 -19  5 0  1 2684  0 0 0 0000 0200
-12 -21  2 -2  1 2684  0 0 0 0000 0200
-12 -19  0 -5  1 2684  0 0 0 0000 0200
-9 -16  0 -6  1 2684  0 0 0 0000 0200
-6 -13  0 -6  1 2684  0 0 0 0000 0201
-3 -12  0 -6  1 2639  0 0 0 0000 0200
-6 -12  0 -5  1 2639  0 0 0 0000 0200
-6 -13  1 -4  1 2639  0 0 0 0000 0200
-9 -15  1 -4  1 2639  0 0 0 0000 0200
-10 -18  0 -4  1 2639  0 0 0 0000 0200
-12 -21  0 -5  1 2684  0 0 0 0000 0200
-12 -19  -1 -6  1 2684  0 0 0 0000 0200
-10 -18  -1 -7  1 2684  0 0 0 0000 0200
-12 -18  -2 -7  1 2684  0 0 0 0000 0200
-12 -18  -2 -7  1 2684  0 0 0 0000 0200
-12 -18  -2 -7  1 2730  0 0 0 0000 0200
-12 -18  -3 -7  1 2730  0 0 0 0000 0200
-12 -18  -3 -7  1 2730  0 0 0 0000 0200
-10 -15  -2 -6  1 2730  0 0 0 0000 0200
-7 -12  -2 -5  1 2730  0 0 0 0000 0200
-4 -9  0 -4  1 2775  0 0 0 0000 0200
0 -6  0 -2  1 2775  0 0 0 0000 0200
0 -6  2 0  1 2775  0 0 0 0000 0200
0 -7  4 1  1 2775  0 0 0 0000 0200
-1 -9  5 1  1 2775  0 0 0 0000 0200
-3 -9  5 2  1 2821  0 0 0 0000 0200
-1 -7  6 2  1 2821  0 0 0 0000 0200
0 -6  6 2  1 2821  0 0 0 0000 0200
3 -3  6 3  1 2821  0 0 0 0000 0200
4 0  7 4  1 2821  0 0 0 0000 0200
6 4  8 6  1 2866  0 0 0 0000 0200
9 7  10 8  1 2866  0 0 0 0000 0200
10 9  12 11  1 2866  0 0 0 0000 0200
12 9  13 13  1 2866  0 0 0 0000 0200
15 9  15 15  1 2866  0 0 0 0000 0200
16 9  17 16  1 2912  0 0 0 0000 0200
18 9  18 16  1 2912  0 0 0 0000 0200
16 9  20 17  1 2912  0 0 0 0000 0200
15 9  20 17  1 2912  0 0 0 0000 0200
12 6  20 17  1 2912  0 0 0 0000 0200
7 4  19 16  1 2957  0 0 0 0000 0200
6 3  17 14  1 2957  0 0 0 0000 0200
6 3  15 13  1 2957  0 0 0 0000 0200
9 6  14 12  1 2957  0 0 0 0000 0200
12 9  13 12  1 2957  0 0 0 0000 0200
16 12  14 13  1 3003  0 0 0 0000 0200
19 15  15 15  1 3003  0 0 0 0000 0200
21 15  17 16  1 3003  0 0 0 0000 0200
21 15  19 18  1 3003  0 0 0 0000 0200
19 15  20 19  1 3003  0 0 0 0000 0200
18 15  21 20  1 3003  0 0 0 0000 0200
15 12  21 20  1 3003  0 0 0 0000 0200
12 10  19 19  1 3003  0 0 0 0000 0200
12 7  18 18  1 3003  0 0 0 0000 0200
12 6  16 16  1 3003  0 0 0 0000 0200
10 3  15 13  1 3003  0 0 0 0000 0200
9 1  13 11  1 3003  0 0 0 0000 0200
7 0  12 9  1 3003  0 0 0 0000 0200
6 0  10 7  1 3003  0 0 0 0000 0200
6 0  9 6  1 3003  0 0 0 0000 0200
6 0  8 5  1 3048  0 0 0 0000 0200
6 0  7 4  1 3048  0 0 0 0000 0200
6 0  6 3  1 3048  0 0 0 0000 0200
6 -1  6 3  1 3048  0 0 0 0000 0200
3 -3  5 2  1 3048  0 0 0 0000 0200
1 -3  4 1  1 3003  0 0 0 0000 0200
0 -4  3 1  1 3003  0 0 0 0000 0200
0 -6  2 0  1 3003  0 0 0 0000 0200
4 -3  1 0  1 3003  0 0 0 0000 0200
7 1  2 0  1 3003  0 0 0 0000 0200
13 7  4 1  1 2957  0 0 0 0000 0200
15 10  6 4  1 2957  0 0 0 0000 0200
15 10  8 6  1 2957  0 0 0 0000 0200
12 7  10 7  1 2957  0 0 0 0000 0200
9 4  10 8  1 2957  0 0 0 0000 0200
6 1  10 7  1 2957  0 0 0 0000 0200
3 0  8 6  1 2957  0 0 0 0000 0200
6 1  7 5  1 2957  0 0 0 0000 0200
7 4  6 4  1 2957  0 0 0 0000 0200
9 6  6 5  1 2957  0 0 0 0000 0200
6 3  5 5  1 2912  0 0 0 0000 0200
6 3  5 5  1 2912  0 0 0 0000 0200
3 0  4 4  1 2912  0 0 0 0000 0200
1 -3  3 3  1 2912  0 0 0 0000 0200
-1 -7  2 1  1 2912  0 0 0 0000 0200
-3 -10  0 0  1 2866  0 0 0 0000 0200
-6 -13  0 -2  1 2866  0 0 0 0000 0200
-6 -15  -2 -5  1 2866  0 0 0 0000 0200
-6 -15  -3 -7  1 2866  0 0 0 0000 0200
-9 -15  -5 -8  1 2866  0 0 0 0000 0200
-10 -15  -6 -9  1 2866  0 0 0 0000 0200
-12 -15  -8 -10  1 2866  0 0 0 0000 0200
-15 -18  -9 -11  1 2866  0 0 0 0000 0200
-16 -18  -11 -12  1 2866  0 0 0 0000 0200
-18 -18  -13 -12  1 2866  0 0 0 0000 0200
-18 -16  -14 -13  1 2866  0 0 0 0000 0200
-15 -15  -15 -12  1 2866  0 0 0 0000 0200
-15 -15  -15 -12  1 2866  0 0 0 0000 0200
-18 -18  -16 -12  1 2866  0 0 0 0000 0200
-18 -19  -16 -12  1 2866  0 0 0 0000 0200
-18 -21  -17 -13  1 2821  0 0 0 0000 0200
-16 -21  -16 -14  1 2821  0 0 0 0000 0200
-15 -19  -16 -14  1 2821  0 0 0 0000 0200
-15 -18  -16 -14  1 2821  0 0 0 0000 0200
-15 -18  -15 -13  1 2821  0 0 0 0000 0200
-18 -18  -15 -13  1 2866  0 0 0 0000 0200
-19 -18  -15 -13  1 2866  0 0 0 0000 0200
-19 -18  -15 -12  1 2866  0 0 0 0000 0200
-18 -18  -15 -12  1 2866  0 0 0 0000 0200
-18 -18  -15 -12  1 2866  0 0 0 0000 0200
-18 -18  -15 -11  1 2866  0 0 0 0000 0200
-18 -18  -15 -11  1 2866  0 0 0 0000 0200
-18 -18  -15 -11  1 2866  0 0 0 0000 0200
-15 -16  -14 -11  1 2866  0 0 0 0000 0200
-15 -15  -13 -10  1 2866  0 0 0 0000 0200
-15 -15  -13 -9  1 2866  0 0 0 0000 0200
-12 -16  -12 -9  1 2866  0 0 0 0000 0200
-12 -16  -11 -8  1 2866  0 0 0 0000 0200
-12 -15  -10 -7  1 2866  0 0 0 0000 0200
-12 -13  -9 -7  1 2866  0 0 0 0000 0200
-12 -12  -8 -6  1 2775  0 0 0 0000 0200
-12 -13  -7 -5  1 2775  0 0 0 0000 0200
-12 -15  -7 -5  1 2775  0 0 0 0000 0200
-12 -15  -7 -5  1 2775  0 0 0 0000 0200
-12 -15  -7 -6  1 2775  0 0 0 0000 0200
-12 -15  -7 -6  1 2684  0 0 0 0000 0200
-12 -15  -7 -6  1 2684  0 0 0 0000 0200
-12 -15  -7 -6  1 2684  0 0 0 0000 0200
-15 -18  -7 -6  1 2684  0 0 0 0000 0200
-15 -19  -7 -7  1 2684  0 0 0 0000 0200
-18 -22  -8 -8  1 2684  0 0 0 0000 0200
-19 -25  -9 -9  1 2684  0 0 0 0000 0200
-21 -24  -10 -11  1 2684  0 0 0 0000 0200
-18 -21  -11 -11  1 2684  0 0 0 0000 0200
-16 -18  -11 -11  1 2684  0 0 0 0000 0200
-13 -15  -10 -10  1 2548  0 0 0 0000 0200
-12 -10  -9 -8  1 2548  0 0 0 0000 0200
-9 -7  -7 -6  1 2548  0 0 0 0000 0200
-6 -6  -5 -3  1 2548  0 0 0 0000 0200
-4 -4  -3 0  1 2548  0 0 0 0000 0200
-1 -3  -1 1  1 2502  0 0 0 0000 0200
0 -4  1 2  1 2502  0 0 0 0000 0200
0 -6  2 3  1 2502  0 0 0 0080 0200
-3 -9  3 3  1 2502  0 0 0 0000 0200
-7 -12  3 2  1 2502  0 0 0 0000 0200
-10 -15  2 1  1 2457  0 0 0 0000 0200
-13 -15  0 0  1 2457  0 0 0 0000 0200
-16 -18  -1 -2  1 2457  0 0 0 0000 0200
-18 -18  -3 -3  1 2457  0 0 0 0000 0200
-18 -16  -5 -4  1 2457  0 0 0 0000 0200
-18 -15  -7 -5  1 2366  0 0 0 0000 0200
-15 -12  -8 -4  1 2366  0 0 0 0000 0200
-12 -10  -7 -3  1 2366  0 0 0 0000 0200
-9 -7  -6 -2  1 2366  0 0 0 0000 0200
-6 -6  -4 0  1 2366  0 0 0 0000 0200
-9 -7  -3 0  1 2229  0 0 0 0000 0200
-12 -10  -2 0  1 2229  0 0 0 0000 0200
-12 -13  -2 0  1 2229  0 0 0 0000 0200
-12 -15  -2 0  1 2229  0 0 0 0000 0200
-10 -15  -2 -1  1 2229  0 0 0 0000 0200
-9 -15  -2 -2  1 2138  0 0 0 0000 0200
-9 -13  -1 -2  1 2138  0 0 0 0000 0200
-9 -10  -1 -2  1 2138  0 0 0 0000 0200
-7 -9  -1 -1  1 2138  0 0 0 0000 0200
-6 -9  0 0  1 2138  0 0 0 0000 0200
-6 -9  0 0  1 2093  0 0 0 0000 0200
-6 -9  0 0  1 2093  0 0 0 0000 0200
-6 -6  0 1  1 2093  0 0 0 0000 0200
-1 -1  1 2  1 2093  0 0 0 0000 0200
4 4  3 4  1 2093  0 0 0 0000 0200
10 10  6 7  1 2093  0 0 0 0000 0200
15 16  9 11  1 2093  0 0 0 0000 0200
19 19  13 15  1 2093  0 0 0 0000 0200
19 19  17 19  1 2093  0 0 0 0000 0200
18 18  19 22  1 2093  0 0 0 0000 0200
15 15  21 23  1 1911  0 0 0 0000 0200
15 13  22 24  1 1911  0 0 0 0000 0200
16 15  22 24  1 1911  0 0 0 0000 0200
18 15  22 24  1 1911  0 0 0 0000 0200
15 15  22 23  1 1911  0 0 0 0000 0200
13 12  21 23  1 1820  0 0 0 0000 0200
10 12  20 22  1 1820  0 0 0 0000 0200
7 9  18 21  1 1820  0 0 0 0000 0200
6 6  16 19  1 1820  0 0 0 0000 0200
7 6  14 17  1 1820  0 0 0 0000 0200
9 6  13 15  1 1820  0 0 0 0000 0200
6 6  12 14  1 1820  0 0 0 0000 0201
6 6  11 13  1 1820  0 0 0 0000 0200
6 6  10 12  1 1820  0 0 0 0000 0200
3 3  9 11  1 1820  0 0 0 0000 0200
-1 -1  8 9  1 1774  0 0 0 0000 0200
-6 -4  5 7  1 1774  0 0 0 0000 0200
-9 -6  2 5  1 1774  0 0 0 0000 0200
-9 -6  0 3  1 1774  0 0 0 0000 0200
-7 -6  -1 1  1 1774  0 0 0 0000 0200
-6 -6  -2 0  1 1729  0 0 0 0000 0200
-4 -6  -2 0  1 1729  0 0 0 0000 0200
-3 -3  -2 0  1 1729  0 0 0 0000 0200
1 0  -1 0  1 1729  0 0 0 0000 0200
3 3  0 1  1 1729  0 0 0 0000 0200
3 4  1 2  1 1683  0 0 0 0000 0200
1 3  2 4  1 1683  0 0 0 0000 0200
-1 1  2 4  1 1683  0 0 0 0000 0200
-3 0  1 4  1 1683  0 0 0 0000 0200
0 3  1 4  1 1683  0 0 0 0000 0200
4 6  1 5  1 1592  0 0 0 0000 0200
9 10  3 6  1 1592  0 0 0 0000 0200
13 13  5 8  1 1592  0 0 0 0000 0200
16 16  8 11  1 1592  0 0 0 0000 0200
18 16  11 13  1 1592  0 0 0 0000 0200
15 15  13 15  1 1547  0 0 0 0000 0200
12 12  14 15  1 1547  0 0 0 0000 0200
9 9  14 15  1 1547  0 0 0 0000 0200
6 9  12 14  1 1547  0 0 0 0000 0200
6 9  11 13  1 1547  0 0 0 0000 0200
6 12  10 13  1 1456  0 0 0 0000 0200
6 10  8 12  1 1456  0 0 0 0000 0200
6 9  7 12  1 1456  0 0 0 0000 0200
6 7  7 11  1 1456  0 0 0 0000 0200
6 6  6 10  1 1456  0 0 0 0000 0200
7 9  6 9  1 1365  0 0 0 0000 0200
10 10  6 9  1 1365  0 0 0 0000 0200
13 13  7 10  1 1365  0 0 0 0000 0200
18 18  9 11  1 1365  0 0 0 0000 0200
16 18  11 13  1 1365  0 0 0 0000 0200
13 15  12 14  1 1319  0 0 0 0000 0200
10 12  13 14  1 1319  0 0 0 0000 0200
6 9  12 13  1 1319  0 0 0 0000 0200
3 9  10 12  1 1319  0 0 0 0000 0200
3 7  8 11  1 1319  0 0 0 0000 0200
3 6  6 10  1 1092  0 0 0 0000 0200
3 3  5 8  1 1092  0 0 0 0000 0200
3 3  3 6  1 1092  0 0 0 0000 0200
1 1  2 5  1 1092  0 0 0 0000 0200
-1 -1  1 3  1 1092  0 0 0 0000 0200
-4 -4  0 1  1 1001  0 0 0 0000 0200
-9 -7  -1 0  1 1001  0 0 0 0000 0200
-9 -7  -3 -2  1 1001  0 0 0 0000 0200
-7 -4  -4 -3  1 1001  0 0 0 0000 0200
-6 -3  -5 -3  1 1001  0 0 0 0000 0200
-7 -3  -6 -3  1 910  0 0 0 0000 0200
-9 -3  -6 -3  1 910  0 0 0 0000 0200
-4 0  -6 -2  1 910  0 0 0 0000 0200
1 6  -5 -1  1 910  0 0 0 0000 0200
9 15  -2 1  1 910  0 0 0 0000 0200
